	GSM3014964_Tissue_CTRL1	GSM3014965_Tissue_CTRL2	GSM3014966_Tissue_CTRL3	GSM3014967_Tissue_CTRL4	GSM3014968_Tissue_CTRL5	GSM3014969_Tissue_CTRL6	GSM3014970_Tissue_CTRL7	GSM3014971_Tissue_CTRL8	GSM3014972_Tissue_PD1	GSM3014973_Tissue_PD2	GSM3014974_Tissue_PD3	GSM3014975_Tissue_PD4	GSM3014976_Tissue_PD5	GSM3014977_Tissue_PD6	GSM3014978_Tissue_PD7	GSM3014979_Tissue_PD8
ENSG00000214391	-2.2292947908508283	0.47069957567384624	0.614018777552861	-0.8127881826856873	0.37362542124379855	1.6512564617772691	0.2118079893480568	-2.0630616358470966	-0.014353901433608523	-0.12859430419940124	0.6630935987253571	0.8037301764729462	0.1091072197488738	-0.10792938214654864	1.0577577906524378	-0.5990748140322593
ENSG00000218175	1.5802506918886212	1.47757022721356	-1.4814554255399657	-0.04727298687751999	0.2267559642830303	-0.07450912013705127	-1.019129021547821	-2.0448787130389565	-0.416441246270296	-0.10013540678218438	-1.2133367531111092	0.8489553369399225	0.8319977197227324	0.4174544313482582	0.7173268407221686	0.29684746118659655
FTLL2	3.0783783104467055	0.7818538487006954	-0.904434448704822	-0.011300942510904943	-0.3807936804562796	-0.7656326040848239	-1.0330806166616373	-0.43856498216902345	-0.5035476300258398	-0.20062572385281127	1.2872354537685928	-0.14614469022231713	0.1167901389371968	-0.5561951078397321	-0.7766902775074652	0.4527529521824815
SYN1	-3.353106240820413	0.3550266462704399	0.34359059086599814	-1.1304394330552314	0.24076617945917606	0.7117483894324583	0.029598737354813724	-0.5244933560669843	0.622357971774094	0.5405161575587504	-0.22750241301275098	0.9664595663486043	0.32400429323659563	0.3173069214118807	0.7205294185237149	0.06363657071889015
CALR	1.7066032752252287	-0.7949974115479972	-0.764300262041213	0.47988031817037863	-0.8728020168850494	-0.878135331962116	-0.9535416187947686	-0.5401692822316116	-0.3235550483930411	-1.3878134125360775	1.68554255926243	-0.18958378143298354	1.3371538313709357	0.013511609208374355	-0.004810284863332105	1.487016857450808
ENSG00000226415	-3.4018716525310073	-0.1923547825296819	0.8128082976575707	-0.9091697349960975	0.38842518215520533	0.6662744158559394	0.2367149631717693	-0.6220782896717757	0.17809464432450592	0.07145059357191523	0.1921332348567959	0.5583758283405761	0.35570262824807847	0.7157334425534113	0.9163935350841592	0.03336769390871216
GAPDH	-3.0081626516962485	0.5279182646550253	0.9159762792996252	-0.1682883374652204	0.4961894174789444	0.6551209291640714	-0.14985333979288384	-1.2765231532395478	-0.07164987828306324	0.17400324778537282	-0.4259054605311512	0.6489650191214074	0.741377828063493	0.4939148630899674	1.209903934566031	-0.7629869622158655
CAMK2A	-2.655090684512973	-0.6199186107593239	0.4259712043907877	-0.12103835013430837	0.3206818664084439	-0.0032017706371109305	1.1223020306678122	-0.5123282794913692	1.2416732270562627	-0.9255431700683233	-0.988496737680036	0.9389837813154884	0.7263705540852341	1.3325756215313505	0.1274207250592628	-0.41036140723120185
CHI3L1	-0.3947343717031245	-0.09009145489225093	-0.33074701127379286	2.76910153293852	0.2873961462376673	-0.865348006549466	-0.5898084591240428	-0.17198573519744537	0.018052399193117286	-0.38868336235527495	2.244884456687058	-0.2849969278283063	-0.06511775997621991	-0.7403498817557516	-0.8549636688545166	-0.5426078955461686
SPARCL1	0.33901575725257505	0.5589278381979403	1.2237454475383753	-0.8268686821642555	-0.2957713559179689	-1.4587931064684954	1.438088239151165	0.774533211573203	-0.05026029379395696	0.3669217456641994	-0.2509121044951867	-1.384644794480312	1.1268669786781518	-2.2112030661559996	0.22577507579585393	0.42457910962486406
