Gene_Symbol,GSM3014964_Tissue_CTRL1,GSM3014965_Tissue_CTRL2,GSM3014966_Tissue_CTRL3,GSM3014967_Tissue_CTRL4,GSM3014968_Tissue_CTRL5,GSM3014969_Tissue_CTRL6,GSM3014970_Tissue_CTRL7,GSM3014971_Tissue_CTRL8,GSM3014972_Tissue_PD1,GSM3014973_Tissue_PD2,GSM3014974_Tissue_PD3,GSM3014975_Tissue_PD4,GSM3014976_Tissue_PD5,GSM3014977_Tissue_PD6,GSM3014978_Tissue_PD7,GSM3014979_Tissue_PD8
ABCC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P1,0.11016,0.02311,0.08075,0.04034,0,0.12136,0.18067,0.01982,0.20315,0.07002,0.12689,0.02538,0.17413,0.11306,0.09984,0.24674
ABCC6P2,0.10528,0.44175,0.21437,0.06426,0.1888,0.07733,0,0,0.09245,0,0,0,0.12328,0.14407,0,0.23581
ABCC6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC8,18.55616,21.27541,21.45917,15.96862,19.33807,16.66838,22.39763,21.54409,21.63718,22.85909,13.56071,13.27164,15.72225,15.74744,15.70479,17.36033
ABCC9,2.41314,1.48871,2.00499,3.32575,2.07413,1.27423,1.01601,2.73022,2.18235,1.52991,3.22764,1.30343,1.3122,1.23194,0.96326,2.20198
ABCD1,1.75459,1.22708,0.87473,1.07104,1.2478,0.84435,1.35315,1.15198,1.24864,0.85463,1.01219,1.39388,1.41695,1.11775,0.73117,1.03899
ABCD2,2.0553,1.26328,2.2423,1.16624,2.2427,1.83705,2.12353,1.66131,1.6931,1.96271,1.10989,1.69393,1.85078,1.86582,1.75264,1.49781
ABCD3,7.41658,4.36552,4.69736,4.61348,4.74525,4.05876,4.51914,7.0396,4.28794,4.27443,5.30026,4.79361,4.98992,5.0113,5.2646,6.42882
ABCD4,4.87942,4.30999,3.2395,5.36749,3.66128,2.97728,3.35973,4.2139,3.7383,5.31284,4.8301,2.68346,4.05461,2.54746,2.21893,4.89071
ABCE1,0.87482,1.83542,1.73247,2.23025,2.15335,1.91506,2.07161,2.03673,1.47627,1.64761,2.38512,1.85734,1.82782,1.83094,2.13512,1.71616
ABCF1,12.58419,13.95507,15.89558,16.89344,15.10535,14.91413,15.90992,14.31887,12.79056,13.63264,14.18327,13.95674,14.08989,14.49375,14.2686,15.26341
ABCF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF2,6.05564,8.7158,11.90167,10.19369,10.73646,9.04753,11.97695,10.15076,10.16417,10.05725,9.34125,10.03076,10.15241,9.7859,11.80139,8.0242
ABCF3,8.53889,14.14352,15.19709,14.33602,15.89836,14.03969,15.49822,15.03587,13.99822,15.29692,11.21816,14.16112,14.29788,15.14703,16.38523,13.02951
ABCG1,11.29941,12.16434,8.5547,10.47043,10.75211,9.12935,10.64239,8.78112,11.19195,12.23221,7.53903,12.20499,11.18148,8.89744,11.27105,9.70196
ABCG2,10.83469,5.15385,7.282,2.38319,7.47119,6.27822,6.2115,4.90421,11.92924,2.59423,7.78666,7.1672,5.57257,9.32606,8.86393,3.00985
ABCG4,1.32918,3.63414,3.22584,2.5442,2.76122,2.90233,3.25517,2.60766,3.04232,3.16032,2.60287,2.78505,3.04242,2.53086,3.34703,2.4855
ABCG5,0.85776,0.61224,0.61582,0.2591,0.4599,0.33125,0.25051,0.30227,0.34946,0.6745,0.2983,0.18335,0.60575,0.45379,0.33662,0.45556
ABCG8,2.67637,2.65016,1.90998,0.80158,2.39986,1.21254,1.39853,2.13747,1.41682,2.78234,1.71841,1.12368,1.88915,1.25792,1.04285,1.76482
ABHD1,0.97731,0.54132,0.33433,0.54407,0.51879,0.46515,0.34972,0.68219,0.37077,0.38101,0.3538,0.1441,0.43945,0.24073,0.22676,0.52537
ABHD10,0.71026,1.61058,1.82319,0.77514,1.38955,1.72314,1.45478,1.31651,1.53101,0.89685,1.49931,1.81811,1.49956,1.63466,1.83371,1.00436
ABHD11,3.05551,3.94502,4.34573,3.55812,3.99032,3.90158,3.76142,4.07344,3.30257,4.648,2.95231,2.74353,3.688,2.86262,4.06178,3.00084
ABHD12,42.94493,33.82494,40.11288,36.04834,35.32368,40.11111,41.37803,37.80497,40.39909,33.51137,34.14361,35.40808,36.62063,40.33492,37.58059,34.95257
ABHD12B,0.13798,0.23914,0.4471,0.20873,0.43034,0.17185,0.29517,0.21585,0.20547,0.25422,0.22705,0.31788,0.41095,0.27091,0.29362,0.38296
ABHD13,0.4673,0.60945,0.96441,1.00608,0.78142,0.90446,1.16751,1.60754,0.79858,0.70913,1.33009,0.91653,0.87625,0.84256,0.78985,0.78502
ABHD14A,8.30834,14.55613,15.2524,9.25429,18.5865,16.08975,15.74004,10.90215,17.2066,16.01569,10.07755,18.45013,17.86536,12.13151,17.19555,11.03157
ABHD14A-ACY1,5.09979,6.11934,6.3161,4.60554,8.2375,6.77322,7.73398,5.54572,8.37441,7.36396,5.18745,6.43777,7.63845,5.7002,7.94646,5.35942
ABHD14B,0.7449,1.03539,0.51193,0.54564,0.65124,0.71811,0.58309,0.73706,0.66235,0.59186,0.37539,0.55773,0.53971,0.42049,0.20254,0.99067
ABHD15,1.33627,1.54528,0.64276,0.57804,0.49061,0.57962,0.73734,0.88021,1.21971,0.82486,1.15138,1.23625,0.6838,0.88552,0.59127,0.83665
ABHD16A,4.97793,7.09511,7.83369,6.63872,7.89626,8.25644,8.22882,4.75155,8.82041,7.48049,5.80962,10.08139,8.19701,9.16301,10.01666,5.56743
ABHD16A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
